7,Aledo,121 Westgate Dr
7,Arlington,1540 New York Ave
7,Arlington,2561 Matlock Rd
4,Athens,101 W Baker St
2,Austin,701 W 51st St
2,Austin,8317 Cross Park
2,Austin,4601 S 1st St
3,Bonham,1205 E Sam Rayburn
4,Canton,555 W Highway 243
4,Carthage,1430 S Adams
7,Cleburne,204 Kimberly Dr
7,Dallas,1111 W Ledbetter
7,Dallas,1545 W Mockingbird ln
3,Denton,3612 E McKinney St
7,Fort Worth,1501 Circle Dr
7,Fort Worth,2500 Stonewall
3,Gainesville,326 S Commerce ST
7,Gannd Prairie,2511 Dalworth
7,Gannd Prairie,801 S State Highway 161
7,Grand Prairie,219 SE 2nd St
4,Henderson,700 Zeid Blvd
4,Jacksonville,502 E Pine St
7,Mesquite,6500 Northwest Dr
7,Mineral Wells,4113A Hwy 180 E
3,Sherman,2001 Loy lake Rd
4,Tyler,3303 Mineola Hwy
4,Tyler,302 E Rieck Rd
7,Weatherford,1950 Clear Lake RD
